ke,a,b,krp,Ea_rp,T0_rp,h0,kd,kw,Ea,T0,sigma,CaMg_1,CaMg_2,CaMg_3,CaMg_4,CaMg_5,CaMg_6,R2,volcanic_degassing,control_ppm,noIA_ppm,redIA_ppm,redIA10_ppm,redIA5_ppm,redIAsunda_ppm,redIAsunda10_ppm,redIAsunda5_ppm,redIAsundaGL_ppm,redIAsunda10GL_ppm,redIAsunda5GL_ppm,noDeccan_ppm,noET_ppm,noTraps_ppm,noCRB_ppm
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,5e-05,1.0,42000.0,286.0,-0.2,3500.0,1521.0,4759.0,10317.0,0.0,3000.0,0.5136667260864467,3918383300000.0,286.0,692.61084,561.246,491.4754,417.03613,534.1937,463.46207,395.79654,531.28284,460.96252,393.64752,321.9061,326.86142,363.09256,295.02826
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,0.5,42000.0,286.0,0.0,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5202434931707223,3968076300000.0,286.0,742.6621,595.07056,505.52872,425.74164,557.7943,478.71503,404.03113,553.83777,475.35233,401.15164,331.73596,337.8056,383.88693,297.98904
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5543096510474772,4288406600000.0,286.0,748.351,595.59546,502.18686,425.78586,563.7151,480.82553,407.4904,560.03784,477.6986,404.79868,320.37106,337.7161,372.28104,298.2207
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0001,0.5,42000.0,286.0,-0.2,2500.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5144424313297777,3564387700000.0,286.0,793.4027,636.27936,514.1843,435.57898,601.1159,495.27142,417.01776,591.6947,491.12363,413.4476,336.4989,356.0084,406.6895,302.8675
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.001,1.0,42000.0,286.0,-0.4,1500.0,1521.0,4759.0,10317.0,0.0,1000.0,0.5004936578085417,4478596000000.0,286.0,787.51,637.25,515.2462,442.57437,616.62103,503.05975,427.7944,608.1954,498.92563,424.1686,343.02386,402.63828,459.26257,318.4458
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,1e-05,1.0,42000.0,286.0,0.0,2500.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5194531901391325,3936473300000.0,286.0,724.731,586.831,503.03967,428.6671,561.1239,483.5784,409.57758,556.5432,479.66855,406.21957,345.14435,368.4284,428.24197,305.82938
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,1e-05,1.0,42000.0,286.0,0.0,4000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5052755972704793,4960621700000.0,286.0,688.2329,562.3018,491.08765,418.88623,542.7036,471.117,400.46735,536.94684,466.16025,396.19107,325.5296,340.2955,380.1674,299.17725
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,0.5,42000.0,286.0,0.1,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5142504267661596,5041237000000.0,286.0,800.22345,647.5149,522.3668,443.41385,619.47327,506.03784,425.87204,608.8288,500.9636,421.52567,341.86993,389.2241,445.16864,313.67212
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,5e-05,1.0,42000.0,286.0,-0.2,3500.0,1521.0,4759.0,10317.0,0.0,3000.0,0.5527683661889536,4532917000000.0,286.0,702.3318,565.63403,493.5284,418.63235,540.68134,467.8012,398.45074,536.3889,464.07617,395.2058,320.71524,330.39456,365.39603,296.5965
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.0002,0.5,42000.0,286.0,-0.2,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.518748454679028,5007396600000.0,286.0,817.32874,656.0957,522.2669,440.8612,623.8433,504.22125,423.16776,615.46045,500.48032,419.98837,329.86765,358.19055,401.96616,303.6736
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.002,0.02,42000.0,286.0,-0.2,3000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5020480011355934,3863464600000.0,286.0,863.0897,688.0906,525.5304,439.43243,647.1391,504.71167,420.26715,637.2013,500.7985,416.96164,324.48898,336.96863,375.44644,297.77896
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0001,0.1,42000.0,286.0,0.0,2500.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5105650303920639,4875449000000.0,286.0,836.2775,673.7058,526.0387,444.66504,645.1432,510.07755,427.4304,632.6035,504.4904,422.6559,335.27408,368.76816,417.8515,307.3966
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0002,0.2,42000.0,286.0,-0.2,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5271798619866652,4022252000000.0,286.0,832.73285,662.6219,521.1156,435.50894,616.0559,497.31418,415.29855,607.5911,493.88245,412.39005,322.77075,333.25098,370.08936,296.8826
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,3000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5367489696675499,4055631000000.0,286.0,736.092,589.2087,497.7373,425.74182,565.61115,481.68985,409.57358,559.7637,476.66003,405.1671,326.05167,351.2375,391.5141,302.47205
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,5e-05,1.0,42000.0,286.0,-0.2,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5561695964847668,3529673000000.0,286.0,722.9177,579.64606,499.43646,424.80984,553.44476,476.16742,404.90125,549.4945,472.76132,401.9397,336.02325,350.39197,400.95792,301.3141
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,0.5,42000.0,286.0,0.0,3500.0,1521.0,4759.0,10317.0,0.0,3000.0,0.5136951298976798,4471779000000.0,286.0,733.55585,586.20746,503.1221,423.17465,552.014,475.11572,401.32635,547.9288,471.6315,398.33994,324.2801,329.18802,367.72125,296.01926
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0005,0.1,42000.0,286.0,-0.2,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5406064341211045,4320193400000.0,286.0,863.79846,691.1806,529.12976,443.34494,654.2754,509.47113,424.70016,644.3623,505.3355,421.17526,328.42224,348.60794,390.9532,301.2389
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,5e-05,0.05,42000.0,286.0,0.1,3000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5045553309075421,4813694700000.0,286.0,826.2542,663.1779,523.0791,438.8732,625.3233,502.79938,419.50143,614.0792,497.98767,415.43726,330.9206,349.19583,394.1507,301.42523
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,0.5,42000.0,286.0,0.1,1500.0,1521.0,4759.0,10317.0,0.0,1000.0,0.5053233170938672,4241480000000.0,286.0,814.13983,661.44696,527.29266,449.38776,637.0269,512.98645,432.13266,627.5006,508.4308,428.22928,354.56027,413.28107,481.78925,320.1399
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,4000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5283893494161929,4824002700000.0,286.0,711.9486,569.84344,490.50986,418.84607,553.25006,473.5178,402.84448,546.6972,467.84933,397.87265,315.4994,333.83447,363.47015,298.10104
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,1e-05,0.5,42000.0,286.0,0.1,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5062101538624286,4276600400000.0,286.0,811.17194,655.82745,525.83844,444.6707,623.3712,507.5092,425.4964,616.3959,504.3662,422.86487,346.86752,380.94443,442.01608,308.6667
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0001,0.5,42000.0,286.0,-0.2,4000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5235378798250503,4624574000000.0,286.0,757.38074,602.92236,504.03305,425.14056,566.42236,482.08823,406.24432,561.23065,477.70038,402.48096,317.3882,327.5556,359.05093,295.79718
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,4000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.525335110445043,4278280300000.0,286.0,711.233,569.02,490.5277,418.72797,551.3589,472.40097,402.05212,546.4937,468.243,398.45938,316.15268,331.18448,361.49356,296.7112
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,2e-05,1.0,42000.0,286.0,-0.1,3000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5474605490645094,3977196900000.0,286.0,702.88696,568.3165,495.04666,421.59183,546.3878,472.6002,402.01907,541.7262,468.57025,398.52075,334.1141,347.55573,396.18643,300.72595
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.001,0.05,42000.0,286.0,-0.2,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5224982119819691,3767725500000.0,286.0,885.5835,710.8664,534.4526,449.33215,677.53986,516.568,430.9583,668.1947,512.6912,427.65274,337.02493,362.04504,412.8854,304.55304
0.0030713,0.5,1.0,0.003000000026077032,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,4000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5052129654678079,4300442700000.0,286.0,720.70337,572.4877,494.09702,419.96277,552.0269,473.23453,402.08643,548.449,470.21033,399.49884,314.36032,326.45242,354.9795,295.14615
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,1e-05,1.0,42000.0,286.0,0.0,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5079139783069815,4475696700000.0,286.0,713.83075,574.06195,500.63483,424.07144,548.62146,475.56787,403.07834,545.4933,472.9071,400.81732,332.87756,344.19363,391.55096,299.12698
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,5e-05,1.0,42000.0,286.0,-0.2,4000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5481528592558824,4362578000000.0,286.0,683.0531,557.8314,487.15906,415.14133,535.3782,464.03775,396.1179,530.29834,459.61987,392.2609,319.6681,328.93042,362.8708,296.27426
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,4000.0,1521.0,4759.0,10317.0,0.0,3000.0,0.5167000084762385,4978219400000.0,286.0,725.25116,575.6577,495.33972,419.8565,552.88306,473.66907,401.89893,548.6875,470.08475,398.81046,311.90503,324.81268,350.83908,295.1949
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5574842509749067,3679602000000.0,286.0,773.381,620.0391,509.57242,434.49606,588.9106,492.1652,417.24094,581.04675,488.5017,414.0411,335.29236,366.56998,416.14865,306.32092
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,4000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.508556184739879,4259076600000.0,286.0,703.3449,566.5831,487.61118,418.20255,551.6946,472.398,402.75418,545.16095,466.7668,397.829,318.36343,337.14157,369.67654,298.6857
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0005,0.5,42000.0,286.0,-0.4,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5331220285046441,3436205800000.0,286.0,792.76605,628.7194,510.3718,429.50418,582.72095,486.75012,410.00986,574.6223,483.34854,407.06482,317.0739,330.65884,361.85898,296.5542
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.002,0.2,42000.0,286.0,-0.4,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5044214156819984,4877865000000.0,286.0,848.80597,676.9312,523.4019,437.9407,640.7429,504.12866,420.40643,630.86,499.98126,416.85364,316.1634,335.84662,365.97906,298.22623
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,4000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5244495704952354,5014683600000.0,286.0,719.2395,572.46173,493.07837,419.37732,553.54846,473.87756,402.48724,547.9784,469.07922,398.30435,313.47415,329.4071,357.00793,296.75778
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,0.5,42000.0,286.0,0.0,4000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5018150500187464,4301560000000.0,286.0,713.55444,571.37976,496.5163,419.62317,546.7201,471.2903,399.0037,541.8871,467.15854,395.45312,323.2175,327.84647,365.30313,295.73868
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.0001,1.0,42000.0,286.0,-0.2,3000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.534881928617988,4778381000000.0,286.0,747.3678,599.7805,505.3924,429.4782,568.6883,486.4532,411.54886,564.26434,482.71225,408.34915,328.80756,351.3711,394.37094,301.6879
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0001,1.0,42000.0,286.0,-0.2,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5385874720863004,5019633500000.0,286.0,758.9102,610.21027,509.11343,432.53094,577.925,490.64532,414.87088,570.3021,486.37244,411.17722,331.55588,361.72293,407.44788,305.26962
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.002,0.02,42000.0,286.0,-0.2,4000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5044460775721953,4766066300000.0,286.0,835.215,664.31104,518.60156,433.09106,623.19946,497.6834,414.53232,610.9735,492.7546,410.34158,314.591,325.09277,353.67218,295.28394
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,5e-05,1.0,42000.0,286.0,-0.1,1500.0,1521.0,4759.0,10317.0,0.0,1000.0,0.5181355959309987,4467021000000.0,286.0,780.275,633.8954,517.8164,443.79697,611.59796,504.51334,427.73306,602.2586,499.85962,423.68726,350.6952,414.29715,478.90234,321.4388
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,2e-05,0.5,42000.0,286.0,0.0,3000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5136352206325332,4755859000000.0,286.0,772.4164,622.6791,511.6459,434.49167,592.8267,494.98083,416.9549,580.3758,489.21848,412.006,333.92673,361.556,409.60315,305.19037
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0001,0.5,42000.0,286.0,-0.2,3500.0,1521.0,4759.0,10317.0,0.0,3000.0,0.5239411309042875,4806776700000.0,286.0,777.83984,618.74554,510.55676,428.59192,572.5007,486.16833,408.606,567.8664,482.46698,405.44028,318.32443,328.9041,361.34225,296.0918
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.001,0.5,42000.0,286.0,-0.4,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5344755885763599,4225800300000.0,286.0,824.75903,658.6694,519.87335,438.43658,624.3642,501.31842,420.83475,616.5897,497.9767,417.98062,324.5064,348.05954,386.57974,300.86462
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,1.0,42000.0,286.0,0.0,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5476856499818858,3945902400000.0,286.0,743.08,602.3825,509.0622,433.2406,570.05194,489.58176,414.00015,565.577,485.75833,410.70462,349.6516,380.0074,444.3538,309.27982
0.0030713,0.5,1.0,0.003000000026077032,42000.0,286.0,2.73,0.0001,1.0,42000.0,286.0,-0.2,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5200403100653812,4202563600000.0,286.0,767.7766,616.17633,512.2587,434.0755,578.87805,491.55215,414.88947,573.3561,489.05814,412.77817,335.0138,355.65,404.92624,301.69196
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,2e-05,1.0,42000.0,286.0,-0.1,4000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5098307793068593,4118711600000.0,286.0,669.61676,553.5114,484.7135,414.2661,532.38654,463.04105,395.41794,527.4173,458.737,391.6852,325.55798,333.9289,373.86633,297.22327
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0002,0.5,42000.0,286.0,-0.2,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5335810380525392,4736788000000.0,286.0,817.9663,659.3863,523.0944,444.04468,632.128,507.48734,427.32513,622.5659,503.0594,423.50772,337.34744,377.6668,428.7796,309.9188
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,5e-05,0.5,42000.0,286.0,-0.1,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5133415422234942,4651331000000.0,286.0,792.721,633.7492,516.6091,434.10327,590.8056,493.56943,413.97794,583.6952,490.4921,411.38556,327.2657,340.86108,382.26346,298.50992
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0001,1.0,42000.0,286.0,-0.2,2500.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5452604865333135,4553049600000.0,286.0,755.0927,608.5575,507.68542,433.10925,579.9855,491.35696,416.14194,570.96094,486.65665,412.07352,336.0689,369.29108,419.54898,307.2103
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.001,0.5,42000.0,286.0,-0.4,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.529204895628933,4750682000000.0,286.0,814.0235,651.4059,517.5502,437.18793,619.9476,500.16147,420.39166,610.17053,495.77197,416.58157,323.75876,351.7295,389.45645,302.85535
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.0002,0.5,42000.0,286.0,-0.2,3000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5045370497292758,4763620500000.0,286.0,796.568,640.2089,515.3653,437.5604,612.5141,499.973,421.00394,602.0528,495.28854,417.01062,329.5722,357.55927,401.03967,303.55225
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,5e-05,0.05,42000.0,286.0,0.1,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5120299894811873,3953800500000.0,286.0,854.2088,688.6277,531.6003,446.90216,653.29584,512.39966,427.2498,644.1318,508.48105,423.94403,345.9575,370.9708,430.90918,306.68893
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,1.0,42000.0,286.0,0.0,3500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.519244640488016,5015804600000.0,286.0,704.12634,569.6382,495.93268,422.48624,550.0868,476.044,404.00372,543.9936,470.7908,399.45645,328.93387,348.54526,391.86365,301.60126
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.001,0.2,42000.0,286.0,-0.4,4000.0,1521.0,4759.0,10317.0,0.0,3000.0,0.5043164948788719,3722508500000.0,286.0,817.4668,646.25134,513.0096,428.2447,596.71765,488.7518,408.80594,587.111,484.97534,405.5615,307.61182,316.8383,338.47806,293.17
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.01,0.05,42000.0,286.0,-0.4,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5028348676183707,4549374400000.0,286.0,866.94507,698.1482,530.3211,448.08932,671.9319,515.5894,432.15845,661.7465,511.1044,428.26755,329.27744,366.1444,409.07788,306.9765
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.001,0.5,42000.0,286.0,-0.4,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5384061085358101,4111144800000.0,286.0,827.88885,664.2585,521.59894,442.32953,635.4557,505.59653,425.67807,626.48663,501.57123,422.1804,331.90182,365.9927,411.8171,306.54016
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0002,0.1,42000.0,286.0,-0.1,3000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5072893360895321,4342946700000.0,286.0,831.6066,667.3834,521.38666,439.9094,636.0067,504.579,422.30884,623.30396,499.15506,417.67755,330.7448,351.96658,396.6228,302.2222
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.0001,1.0,42000.0,286.0,-0.2,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5454621265313744,3936070400000.0,286.0,775.1963,624.77924,514.47296,437.7131,593.02515,496.47495,419.49002,586.448,493.4163,416.87582,343.38788,374.227,431.87488,307.12982
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0001,0.5,42000.0,286.0,-0.2,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5501085631555008,4487286000000.0,286.0,787.19366,628.10614,513.1058,431.6728,585.7488,490.45102,412.17166,576.7052,486.4763,408.75525,324.14673,338.73077,377.00827,298.7036
