ke,a,b,krp,Ea_rp,T0_rp,h0,kd,kw,Ea,T0,sigma,CaMg_1,CaMg_2,CaMg_3,CaMg_4,CaMg_5,CaMg_6,R2,volcanic_degassing,control_ppm,noIA_ppm,redIA_ppm,redIA10_ppm,redIA5_ppm,redIAsunda_ppm,redIAsunda10_ppm,redIAsunda5_ppm,redIAsundaGL_ppm,redIAsunda10GL_ppm,redIAsunda5GL_ppm,noDeccan_ppm,noET_ppm,noTraps_ppm,noCRB_ppm
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5704278464505702,4091409900000.0,286.0,759.5794,606.7608,505.39627,429.58606,571.9157,486.0892,411.92273,567.63824,482.43274,408.74368,326.77945,350.828,391.84912,302.01743
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.005,0.05,42000.0,286.0,-0.4,3500.0,1521.0,4759.0,10317.0,0.0,3000.0,0.5069993754057477,4396824100000.0,286.0,867.196,688.28296,524.4717,435.568,643.7946,502.10773,416.7988,633.8751,498.22815,413.4881,309.70645,322.29013,345.99265,294.6063
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0001,1.0,42000.0,286.0,-0.2,1500.0,1521.0,4759.0,10317.0,0.0,1000.0,0.5122168751247616,3641588300000.0,286.0,787.7742,638.0966,518.71857,443.49893,612.27814,503.7721,426.26797,604.90137,500.2372,423.211,354.1711,400.17886,468.5076,315.06403
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,5e-05,1.0,42000.0,286.0,-0.2,4000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5324449908788633,4026597400000.0,286.0,675.76776,555.3202,484.51328,414.3507,534.939,463.57126,396.11252,529.4426,458.7919,391.93604,322.46768,332.5167,369.30237,297.1338
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,2e-05,0.2,42000.0,286.0,0.1,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5211075422150162,4539757400000.0,286.0,838.6912,676.9871,530.04315,447.59012,646.1357,512.67883,429.14212,636.72363,508.47702,425.59012,343.42847,380.2061,437.58743,309.74927
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,0.0001,1.0,42000.0,286.0,-0.2,3500.0,1521.0,4759.0,10317.0,0.0,1500.0,0.502729144205573,5231549600000.0,286.0,724.06146,582.95355,497.26804,425.54056,563.6118,482.5141,409.80902,555.77185,475.77307,403.9271,325.95825,354.7594,394.84912,304.05954
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,1.0,42000.0,286.0,0.0,3500.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5096236028753243,4578924300000.0,286.0,697.8969,567.66034,493.63892,422.1717,550.42334,476.15463,404.52206,543.7604,470.4116,399.54587,332.9482,354.46143,401.85992,303.0793
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,5e-05,0.5,42000.0,286.0,-0.1,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5458771533643596,4500330000000.0,286.0,800.2946,642.443,518.911,437.64984,605.5472,498.60187,418.55426,596.8815,494.72293,415.24426,333.78302,355.93045,403.82492,302.98138
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0005,0.5,42000.0,286.0,-0.4,4000.0,1521.0,4759.0,10317.0,0.0,3000.0,0.5240987140537373,3828634400000.0,286.0,766.72595,605.9912,503.45108,423.44876,565.00085,479.00598,404.0612,560.7489,475.39246,400.94077,309.46045,318.8781,342.419,293.64047
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.001,0.5,42000.0,286.0,-0.4,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5128496411660433,3650058000000.0,286.0,839.26245,672.19366,523.97394,443.55927,640.79645,506.88702,426.10983,633.60016,503.7951,423.46317,332.84286,361.57294,408.4076,304.12247
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,2e-05,1.0,42000.0,286.0,0.0,2500.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5123629987723122,4954622000000.0,286.0,759.06555,614.0378,511.93982,436.32446,586.093,495.73785,418.985,577.5095,491.6324,415.49554,338.4759,378.35922,431.05045,309.20343
0.0030713,0.5,1.0,0.004999999888241291,42000.0,286.0,2.73,0.0005,1.0,42000.0,286.0,-0.4,2500.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5052409946128201,3418545700000.0,286.0,755.16125,604.0105,503.66968,429.8664,571.6491,485.82877,412.45557,567.7992,482.56522,409.64267,331.53937,354.65518,400.502,302.23004
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,1.0,42000.0,286.0,0.0,2500.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5493566740840191,4593790000000.0,286.0,731.11145,590.4401,505.09256,428.96658,561.52704,483.87473,409.49994,556.7412,479.7722,405.95844,338.4372,363.0342,416.00095,305.11206
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,0.0001,0.5,42000.0,286.0,-0.2,4000.0,1521.0,4759.0,10317.0,0.0,2000.0,0.5140019588787346,4269261700000.0,286.0,749.5113,597.6785,501.2491,424.458,565.72345,481.3686,406.3022,560.1094,476.6238,402.2261,319.99945,331.02118,365.14313,296.61807
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,5e-05,1.0,42000.0,286.0,-0.2,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.5546118140093568,3837117300000.0,286.0,708.4977,568.837,495.45502,420.79968,544.2173,470.08594,400.39005,540.5213,466.8993,397.628,327.99963,337.84232,380.25925,298.05627
0.0030713,0.5,1.0,0.009999999776482582,42000.0,286.0,2.73,5e-05,1.0,42000.0,286.0,-0.1,2000.0,1521.0,4759.0,10317.0,0.0,1500.0,0.5263030857598405,5038407700000.0,286.0,769.4807,622.48157,513.922,438.37756,595.9115,498.27393,421.6463,586.5164,493.67114,417.67102,339.94296,387.84012,441.8502,313.2021
0.0030713,0.5,1.0,0.014999999664723871,42000.0,286.0,2.73,1e-05,1.0,42000.0,286.0,0.0,3000.0,1521.0,4759.0,10317.0,0.0,2500.0,0.513631878416035,5241677300000.0,286.0,721.60596,580.98157,501.9969,425.6396,554.8833,479.43063,405.9977,549.86304,475.11276,402.2679,329.68387,349.85394,393.93204,301.8781
