Core and section,Depth [m],Age [Ma],87Sr/86Sr,Error,Hole
13-1,301,15.24,0.708753,0.000008,588A
13-2,302.5,15.27,0.708758,0.000008,588A
13-3,304,15.3,0.708737,0.00001,588A
13-4,305.5,15.39,0.708706,0.000008,588A
14-1,306,15.42,0.708698,0.00001,588A
14-2,307.5,15.57,0.708731,0.000008,588A
14-3,309,15.97,0.708717,0.000008,588A
15-1,311,16.49,0.708666,0.000008,588A
15-2,312.5,16.82,0.708655,0.00001,588A
15-3,314,17.15,0.708644,0.000008,588A
15-4,315.5,17.48,0.708625,0.000008,588A
2-1,315.7,15.47,0.708716,0.00001,588C
2-2,317.2,15.74,0.708713,0.000008,588C
2-2t,317.9,15.9,0.708728,0.000008,588C
2-3,318.7,16.07,0.708716,0.00001,588C
2-3t,319.4,16.22,0.708731,0.00001,588C
2-4,320.2,16.4,0.708702,0.00001,588C
2-4+,320.9,16.81,0.708704,0.000008,588C
2-5,321.65,17.26,0.708672,0.000008,588C
2-6,323.15,17.52,0.708667,0.000008,588C
3-1,325.25,17.57,0.708667,0.00001,588C
3-2,326.75,17.6,0.708643,0.000012,588C
3-3,328.25,17.83,0.70861,0.00001,588C
3-4,329.75,18.07,0.708607,0.000012,588C
3-5,331.25,18.31,0.708606,0.000008,588C
3-6,332.75,18.55,0.708557,0.00001,588C
4-1,334.85,18.89,0.708494,0.00001,588C
4-2,336.35,19.12,0.708513,0.000008,588C
4-3,337.85,19.36,0.708512,0.000008,588C
4-4,339.35,19.6,0.708496,0.00001,588C
4-5,340.85,19.84,0.708498,0.00001,588C
4-6,342.35,20.82,0.708484,0.00001,588C
5-1,344.45,20.42,0.708477,0.000008,588C
5-2,345.95,20.63,0.708445,0.000008,588C
5-3,347.45,20.85,0.708455,0.000008,588C
5-4,348.95,21.06,0.708375,0.000008,588C
5-5,350.45,21.27,0.708385,0.000008,588C
6-2,355.55,21.98,0.708359,0.000008,588C
6-4,358.6,22.41,0.708362,0.000008,588C
6-5,360,22.61,0.708335,0.00001,588C
6-6,361.6,22.83,0.708322,0.000008,588C
6-7,363,23.03,0.708308,0.000008,588C
7-1,363.7,23.13,0.708306,0.000008,588C
7-2,365.2,23.34,0.708317,0.000008,588C
7-3,366.7,23.55,0.70829,0.00001,588C
7-4,368.2,23.71,0.708266,0.000008,588C
8-2,374.8,23.87,0.708252,0.000008,588C
8-3,376.3,23.91,0.708261,0.000008,588C
8-4,377.8,23.95,0.708252,0.000008,588C
8-5,379.3,23.99,0.708245,0.000008,588C
8-6,380.8,24.02,0.708262,0.00001,588C
8-7,382.3,24.06,0.708191,0.00001,588C
9-2,384.3,24.11,0.70823,0.00001,588C
9-5,388.8,24.22,0.708243,0.000008,588C
9-6,390.3,24.26,0.708247,0.000008,588C
10-2,393.3,24.33,0.708225,0.00001,588C
