87Sr/86Sr,age
0.720320513,1.406773961
0.719056899,1.407849377
0.728070522,1.732625018
0.726982482,2.753054556
0.726987157,3.196312988
0.738843039,3.383917911
0.751564848,3.411388712
0.736553451,3.830901958
0.728590462,4.147962657
0.738947671,4.302977799
0.737056792,4.672672164
0.752914149,5.325133987
0.753112505,6.129220494
0.73389203,6.736535791
0.738124727,6.954564702
0.74951383,6.974836387
0.736038186,7.067156084
0.730437373,7.360043301
0.728624595,7.383749211
0.722966738,7.477216891
0.721925922,7.766223259
0.719838213,7.768000033
0.742914536,7.903502452
0.737860081,7.907804116
0.722312605,7.965362252
0.724400782,8.007911321
0.72500582,8.073885757
0.719401968,8.078654993
0.719128906,8.23402923
0.739182843,8.305614532
0.735227416,8.331143973
0.727206916,8.404459292
0.718801137,8.411613146
0.72066979,8.476512166
0.723691709,8.49610344
0.732811938,8.510504664
0.724298384,8.717218327
0.724903656,8.805355684
0.731333007,8.932862619
0.726168672,8.937257798
0.717599243,9.055366532
0.724522584,9.138126809
0.72100878,9.362748487
0.720021735,9.540893489
0.727000717,9.690095774
0.723374695,9.69318175
0.7185407,9.76378515
0.717551785,9.76462678
0.726672014,9.779028003
0.720079714,9.828964713
0.718981153,9.852062779
0.722607409,9.871139724
0.714586442,9.9001292
0.716730026,9.986957354
0.732333144,9.995841226
0.719423476,10.11764378
0.717667041,10.27428046
0.722611851,10.29223523
0.719096175,10.33955354
0.716459068,10.34179789
0.715690613,10.40894125
0.724042388,10.49048584
0.722670297,10.6246323
0.717286905,10.69570327
0.72399002,10.73432474
0.719924947,10.78211061
0.721079149,10.82545455
0.718003459,10.91672465
0.71487283,11.00804149
0.715972092,11.05143219
0.719928688,11.13671736
0.716742183,11.13942928
0.71888834,11.47004957
0.717736943,11.69266069
0.718893249,11.93547092
