Age,Min,Mean,Max,Mean-min,Max - mean
6.55,0.708962,0.708966,0.708969,0.000004,0.000004
6.6,0.70896,0.708964,0.708968,0.000004,0.000004
6.65,0.708958,0.708962,0.708966,0.000004,0.000004
6.7,0.708956,0.70896,0.708964,0.000004,0.000004
6.75,0.708955,0.708959,0.708962,0.000004,0.000004
6.8,0.708953,0.708957,0.708961,0.000004,0.000004
6.85,0.708952,0.708955,0.708959,0.000004,0.000004
6.9,0.70895,0.708954,0.708958,0.000004,0.000004
6.95,0.708948,0.708952,0.708956,0.000004,0.000004
7,0.708947,0.708951,0.708955,0.000004,0.000004
7.05,0.708946,0.70895,0.708953,0.000004,0.000004
7.1,0.708944,0.708948,0.708952,0.000004,0.000004
7.15,0.708943,0.708947,0.708951,0.000004,0.000004
7.2,0.708942,0.708946,0.70895,0.000004,0.000004
7.25,0.70894,0.708945,0.708949,0.000004,0.000004
7.3,0.708939,0.708943,0.708948,0.000004,0.000004
7.35,0.708938,0.708942,0.708947,0.000004,0.000004
7.4,0.708937,0.708941,0.708945,0.000005,0.000004
7.45,0.708936,0.70894,0.708944,0.000004,0.000005
7.5,0.708935,0.708939,0.708943,0.000004,0.000004
7.55,0.708934,0.708938,0.708943,0.000004,0.000004
7.6,0.708933,0.708937,0.708942,0.000004,0.000004
7.65,0.708932,0.708937,0.708941,0.000004,0.000004
7.7,0.708931,0.708936,0.70894,0.000004,0.000004
7.75,0.708931,0.708935,0.708939,0.000004,0.000004
7.8,0.70893,0.708934,0.708939,0.000004,0.000004
7.85,0.708929,0.708934,0.708938,0.000004,0.000004
7.9,0.708929,0.708933,0.708938,0.000005,0.000004
7.95,0.708928,0.708932,0.708937,0.000004,0.000005
8,0.708927,0.708932,0.708936,0.000005,0.000005
8.05,0.708926,0.708931,0.708936,0.000005,0.000005
8.1,0.708925,0.70893,0.708935,0.000005,0.000005
8.15,0.708924,0.708929,0.708934,0.000005,0.000005
8.2,0.708924,0.708928,0.708933,0.000005,0.000005
8.25,0.708923,0.708927,0.708932,0.000005,0.000005
8.3,0.708922,0.708926,0.708931,0.000005,0.000005
8.35,0.708921,0.708926,0.70893,0.000005,0.000005
8.4,0.70892,0.708925,0.708929,0.000004,0.000005
8.45,0.708919,0.708924,0.708928,0.000004,0.000004
8.5,0.708919,0.708923,0.708927,0.000004,0.000004
8.55,0.708918,0.708922,0.708927,0.000004,0.000004
8.6,0.708917,0.708921,0.708926,0.000004,0.000004
8.65,0.708916,0.70892,0.708925,0.000004,0.000004
8.7,0.708915,0.70892,0.708924,0.000004,0.000004
8.75,0.708914,0.708919,0.708923,0.000004,0.000005
8.8,0.708913,0.708918,0.708922,0.000004,0.000005
8.85,0.708912,0.708917,0.708921,0.000005,0.000005
8.9,0.708911,0.708916,0.708921,0.000005,0.000005
8.95,0.70891,0.708915,0.70892,0.000005,0.000005
9,0.708909,0.708914,0.708919,0.000005,0.000005
9.05,0.708908,0.708913,0.708917,0.000005,0.000005
9.1,0.708907,0.708911,0.708916,0.000005,0.000005
9.15,0.708905,0.70891,0.708915,0.000005,0.000005
9.2,0.708904,0.708909,0.708914,0.000005,0.000005
9.25,0.708903,0.708908,0.708912,0.000005,0.000005
9.3,0.708902,0.708906,0.708911,0.000005,0.000005
9.35,0.7089,0.708905,0.708909,0.000005,0.000005
9.4,0.708899,0.708903,0.708908,0.000004,0.000004
9.45,0.708897,0.708902,0.708906,0.000004,0.000004
9.5,0.708896,0.7089,0.708905,0.000004,0.000004
9.55,0.708894,0.708899,0.708903,0.000004,0.000004
9.6,0.708893,0.708897,0.708901,0.000004,0.000004
9.65,0.708891,0.708896,0.7089,0.000004,0.000004
9.7,0.70889,0.708894,0.708898,0.000004,0.000004
9.75,0.708888,0.708892,0.708897,0.000004,0.000004
9.8,0.708887,0.708891,0.708895,0.000004,0.000004
9.85,0.708885,0.708889,0.708894,0.000004,0.000004
9.9,0.708883,0.708888,0.708892,0.000004,0.000004
9.95,0.708882,0.708886,0.70889,0.000004,0.000004
10,0.70888,0.708885,0.708889,0.000004,0.000004
10.05,0.708879,0.708883,0.708887,0.000004,0.000004
10.1,0.708877,0.708882,0.708886,0.000004,0.000004
10.15,0.708876,0.70888,0.708885,0.000004,0.000004
10.2,0.708874,0.708879,0.708883,0.000005,0.000004
10.25,0.708873,0.708877,0.708882,0.000004,0.000004
10.3,0.708871,0.708876,0.70888,0.000004,0.000004
10.35,0.70887,0.708875,0.708879,0.000004,0.000005
10.4,0.708869,0.708873,0.708878,0.000004,0.000005
10.45,0.708868,0.708872,0.708876,0.000004,0.000004
10.5,0.708866,0.708871,0.708875,0.000004,0.000004
10.55,0.708865,0.708869,0.708874,0.000004,0.000004
10.6,0.708864,0.708868,0.708872,0.000004,0.000004
10.65,0.708862,0.708867,0.708871,0.000004,0.000004
10.7,0.708861,0.708865,0.70887,0.000004,0.000004
10.75,0.70886,0.708864,0.708868,0.000004,0.000004
10.8,0.708859,0.708863,0.708867,0.000004,0.000004
10.85,0.708857,0.708862,0.708866,0.000004,0.000004
10.9,0.708856,0.70886,0.708865,0.000004,0.000004
10.95,0.708855,0.708859,0.708863,0.000004,0.000004
11,0.708854,0.708858,0.708862,0.000004,0.000004
11.05,0.708852,0.708857,0.708861,0.000004,0.000004
11.1,0.708851,0.708855,0.70886,0.000004,0.000004
11.15,0.70885,0.708854,0.708859,0.000004,0.000004
11.2,0.708849,0.708853,0.708857,0.000004,0.000004
11.25,0.708848,0.708852,0.708856,0.000004,0.000004
11.3,0.708847,0.708851,0.708855,0.000004,0.000004
11.35,0.708846,0.70885,0.708854,0.000004,0.000004
11.4,0.708845,0.708849,0.708853,0.000004,0.000004
11.45,0.708844,0.708848,0.708852,0.000004,0.000004
11.5,0.708842,0.708847,0.708851,0.000004,0.000004
11.55,0.708841,0.708846,0.70885,0.000004,0.000004
11.6,0.70884,0.708844,0.708849,0.000004,0.000004
11.65,0.708839,0.708843,0.708848,0.000004,0.000004
11.7,0.708838,0.708842,0.708847,0.000004,0.000004
11.75,0.708837,0.708841,0.708846,0.000004,0.000004
11.8,0.708836,0.70884,0.708845,0.000005,0.000004
11.85,0.708835,0.708839,0.708844,0.000004,0.000004
11.9,0.708834,0.708839,0.708843,0.000004,0.000004
11.95,0.708833,0.708838,0.708842,0.000004,0.000004
12,0.708832,0.708837,0.708841,0.000004,0.000004
12.05,0.708832,0.708836,0.70884,0.000004,0.000004
12.1,0.708831,0.708835,0.708839,0.000004,0.000004
12.15,0.70883,0.708834,0.708838,0.000004,0.000004
12.2,0.708829,0.708834,0.708838,0.000004,0.000004
12.25,0.708829,0.708833,0.708837,0.000004,0.000004
12.3,0.708828,0.708832,0.708836,0.000004,0.000004
12.35,0.708827,0.708831,0.708835,0.000004,0.000004
12.4,0.708826,0.70883,0.708835,0.000004,0.000004
12.45,0.708825,0.708829,0.708834,0.000004,0.000004
12.5,0.708824,0.708829,0.708833,0.000004,0.000004
12.55,0.708824,0.708828,0.708832,0.000004,0.000004
12.6,0.708823,0.708827,0.708831,0.000004,0.000004
12.65,0.708822,0.708826,0.70883,0.000004,0.000004
12.7,0.708821,0.708825,0.708829,0.000004,0.000004
12.75,0.70882,0.708824,0.708828,0.000004,0.000004
12.8,0.708819,0.708823,0.708827,0.000004,0.000004
12.85,0.708818,0.708822,0.708826,0.000004,0.000004
12.9,0.708817,0.708821,0.708825,0.000004,0.000004
12.95,0.708816,0.70882,0.708824,0.000004,0.000004
13,0.708815,0.708819,0.708823,0.000004,0.000004
13.05,0.708814,0.708818,0.708822,0.000004,0.000004
13.1,0.708813,0.708817,0.708821,0.000004,0.000004
13.15,0.708812,0.708817,0.708821,0.000004,0.000004
13.2,0.708812,0.708816,0.70882,0.000004,0.000004
13.25,0.708811,0.708815,0.708819,0.000004,0.000004
13.3,0.70881,0.708814,0.708818,0.000004,0.000004
13.35,0.708809,0.708813,0.708817,0.000004,0.000004
13.4,0.708809,0.708813,0.708817,0.000004,0.000004
13.45,0.708808,0.708812,0.708816,0.000004,0.000004
13.5,0.708807,0.708811,0.708815,0.000004,0.000004
13.55,0.708807,0.708811,0.708815,0.000004,0.000004
13.6,0.708806,0.70881,0.708814,0.000004,0.000004
13.65,0.708805,0.70881,0.708814,0.000004,0.000004
13.7,0.708805,0.708809,0.708813,0.000004,0.000004
13.75,0.708805,0.708809,0.708813,0.000004,0.000004
13.8,0.708805,0.708809,0.708813,0.000004,0.000004
13.85,0.708805,0.708809,0.708813,0.000004,0.000004
13.9,0.708804,0.708808,0.708812,0.000004,0.000004
13.95,0.708804,0.708808,0.708812,0.000004,0.000004
14,0.708803,0.708808,0.708812,0.000004,0.000004
14.05,0.708803,0.708807,0.708811,0.000004,0.000004
14.1,0.708802,0.708806,0.70881,0.000004,0.000004
14.15,0.708802,0.708806,0.70881,0.000004,0.000004
14.2,0.708801,0.708805,0.70881,0.000004,0.000004
14.25,0.708801,0.708805,0.708809,0.000004,0.000004
14.3,0.708801,0.708805,0.708809,0.000004,0.000004
14.35,0.7088,0.708804,0.708808,0.000004,0.000004
14.4,0.7088,0.708804,0.708808,0.000004,0.000004
14.45,0.708799,0.708803,0.708807,0.000004,0.000004
14.5,0.708798,0.708802,0.708807,0.000004,0.000004
14.55,0.708797,0.708801,0.708806,0.000004,0.000004
14.6,0.708796,0.7088,0.708804,0.000004,0.000004
14.65,0.708794,0.708799,0.708803,0.000004,0.000004
14.7,0.708793,0.708797,0.708801,0.000004,0.000004
14.75,0.708791,0.708795,0.7088,0.000004,0.000004
14.8,0.70879,0.708794,0.708798,0.000004,0.000004
14.85,0.708788,0.708792,0.708796,0.000004,0.000004
14.9,0.708786,0.70879,0.708794,0.000004,0.000004
14.95,0.708784,0.708788,0.708792,0.000004,0.000004
15,0.708782,0.708786,0.70879,0.000004,0.000004
15.05,0.70878,0.708784,0.708788,0.000004,0.000004
15.1,0.708778,0.708782,0.708786,0.000004,0.000004
15.15,0.708775,0.708779,0.708784,0.000004,0.000004
15.2,0.708773,0.708777,0.708781,0.000004,0.000004
15.25,0.70877,0.708774,0.708778,0.000004,0.000004
15.3,0.708767,0.708771,0.708775,0.000004,0.000004
15.35,0.708764,0.708768,0.708772,0.000004,0.000004
15.4,0.708761,0.708765,0.708769,0.000004,0.000004
15.45,0.708758,0.708762,0.708765,0.000004,0.000004
15.5,0.708754,0.708758,0.708762,0.000004,0.000004
15.55,0.708751,0.708755,0.708759,0.000004,0.000004
15.6,0.708747,0.708751,0.708755,0.000004,0.000004
15.65,0.708744,0.708748,0.708752,0.000004,0.000004
15.7,0.708741,0.708745,0.708749,0.000004,0.000004
15.75,0.708737,0.708741,0.708745,0.000004,0.000004
15.8,0.708734,0.708738,0.708742,0.000004,0.000004
15.85,0.708731,0.708735,0.708739,0.000004,0.000004
15.9,0.708727,0.708731,0.708735,0.000004,0.000004
15.95,0.708724,0.708728,0.708732,0.000004,0.000004
16,0.70872,0.708724,0.708728,0.000004,0.000004
16.05,0.708716,0.70872,0.708725,0.000004,0.000004
16.1,0.708713,0.708717,0.708721,0.000004,0.000004
16.15,0.708709,0.708713,0.708717,0.000004,0.000004
16.2,0.708705,0.70871,0.708714,0.000004,0.000004
16.25,0.708702,0.708706,0.708711,0.000004,0.000004
16.3,0.708698,0.708703,0.708707,0.000004,0.000004
16.35,0.708695,0.708699,0.708704,0.000004,0.000004
16.4,0.708692,0.708696,0.7087,0.000004,0.000004
16.45,0.708688,0.708692,0.708697,0.000004,0.000004
16.5,0.708685,0.708689,0.708693,0.000004,0.000004
16.55,0.708681,0.708685,0.70869,0.000004,0.000004
16.6,0.708678,0.708682,0.708686,0.000004,0.000004
16.65,0.708674,0.708678,0.708682,0.000004,0.000004
16.7,0.70867,0.708675,0.708679,0.000004,0.000004
16.75,0.708667,0.708671,0.708675,0.000004,0.000004
16.8,0.708663,0.708667,0.708671,0.000004,0.000004
16.85,0.70866,0.708664,0.708668,0.000004,0.000004
16.9,0.708656,0.70866,0.708664,0.000004,0.000004
16.95,0.708652,0.708656,0.70866,0.000004,0.000004
17,0.708648,0.708652,0.708657,0.000004,0.000004
17.05,0.708645,0.708649,0.708653,0.000004,0.000004
17.1,0.708641,0.708645,0.708649,0.000004,0.000004
17.15,0.708637,0.708641,0.708646,0.000004,0.000004
17.2,0.708633,0.708637,0.708642,0.000004,0.000004
17.25,0.708629,0.708634,0.708638,0.000004,0.000004
17.3,0.708625,0.70863,0.708634,0.000004,0.000005
17.35,0.708621,0.708626,0.708631,0.000005,0.000005
17.4,0.708618,0.708622,0.708627,0.000005,0.000005
17.45,0.708614,0.708618,0.708623,0.000005,0.000005
17.5,0.70861,0.708614,0.708619,0.000005,0.000005
17.55,0.708606,0.708611,0.708615,0.000005,0.000005
17.6,0.708602,0.708607,0.708611,0.000005,0.000005
17.65,0.708598,0.708603,0.708608,0.000005,0.000005
17.7,0.708594,0.708599,0.708604,0.000005,0.000005
17.75,0.70859,0.708595,0.7086,0.000005,0.000005
17.8,0.708586,0.708591,0.708596,0.000005,0.000005
17.85,0.708581,0.708587,0.708592,0.000005,0.000005
17.9,0.708577,0.708583,0.708589,0.000006,0.000006
17.95,0.708573,0.708579,0.708585,0.000006,0.000006
18,0.708569,0.708575,0.708581,0.000006,0.000006
18.05,0.708564,0.70857,0.708577,0.000006,0.000006
18.1,0.708559,0.708566,0.708572,0.000007,0.000007
18.15,0.708555,0.708561,0.708568,0.000007,0.000007
18.2,0.70855,0.708557,0.708564,0.000007,0.000007
18.25,0.708545,0.708552,0.708559,0.000007,0.000007
18.3,0.708541,0.708548,0.708555,0.000007,0.000007
18.35,0.708536,0.708543,0.708551,0.000007,0.000007
18.4,0.708532,0.708539,0.708546,0.000007,0.000007
18.45,0.708527,0.708535,0.708542,0.000007,0.000007
18.5,0.708523,0.70853,0.708538,0.000008,0.000008
18.55,0.708519,0.708526,0.708533,0.000007,0.000007
18.6,0.708514,0.708522,0.708529,0.000007,0.000007
18.65,0.70851,0.708517,0.708525,0.000007,0.000007
18.7,0.708506,0.708513,0.708521,0.000007,0.000007
18.75,0.708502,0.708509,0.708517,0.000007,0.000007
18.8,0.708497,0.708505,0.708512,0.000007,0.000008
18.85,0.708493,0.708501,0.708508,0.000008,0.000008
18.9,0.708489,0.708497,0.708505,0.000008,0.000008
18.95,0.708485,0.708493,0.708501,0.000008,0.000008
19,0.708481,0.708489,0.708497,0.000008,0.000008
19.05,0.708477,0.708485,0.708493,0.000008,0.000008
19.1,0.708473,0.708481,0.708489,0.000008,0.000008
19.15,0.708469,0.708477,0.708485,0.000008,0.000008
19.2,0.708465,0.708473,0.708481,0.000008,0.000008
19.25,0.708461,0.708469,0.708477,0.000008,0.000008
19.3,0.708457,0.708465,0.708473,0.000008,0.000008
19.35,0.708453,0.708461,0.70847,0.000008,0.000008
19.4,0.708449,0.708458,0.708466,0.000009,0.000009
19.45,0.708446,0.708454,0.708463,0.000009,0.000008
19.5,0.708443,0.708451,0.70846,0.000008,0.000008
19.55,0.708439,0.708448,0.708456,0.000008,0.000008
19.6,0.708436,0.708445,0.708453,0.000008,0.000008
19.65,0.708433,0.708442,0.70845,0.000008,0.000008
19.7,0.70843,0.708439,0.708447,0.000008,0.000008
19.75,0.708427,0.708436,0.708444,0.000008,0.000008
19.8,0.708425,0.708433,0.708441,0.000008,0.000008
19.85,0.708422,0.70843,0.708438,0.000008,0.000008
19.9,0.708419,0.708427,0.708436,0.000008,0.000009
19.95,0.708416,0.708424,0.708433,0.000009,0.000009
20,0.708413,0.708422,0.708431,0.000009,0.000009
20.05,0.70841,0.708419,0.708428,0.000009,0.000009
20.1,0.708407,0.708416,0.708426,0.000009,0.000009
20.15,0.708404,0.708413,0.708423,0.00001,0.00001
20.2,0.708401,0.708411,0.70842,0.00001,0.00001
20.25,0.708398,0.708408,0.708418,0.00001,0.00001
20.3,0.708395,0.708405,0.708415,0.00001,0.00001
20.35,0.708392,0.708402,0.708412,0.00001,0.00001
20.4,0.70839,0.7084,0.70841,0.00001,0.00001
20.45,0.708387,0.708397,0.708407,0.00001,0.00001
20.5,0.708385,0.708394,0.708404,0.000009,0.00001
20.55,0.708382,0.708392,0.708401,0.000009,0.000009
20.6,0.70838,0.708389,0.708398,0.000009,0.000009
20.65,0.708378,0.708387,0.708396,0.000009,0.000009
20.7,0.708375,0.708384,0.708393,0.000009,0.000009
20.75,0.708373,0.708382,0.70839,0.000009,0.000009
20.8,0.708371,0.708379,0.708388,0.000009,0.000008
20.85,0.708368,0.708377,0.708385,0.000008,0.000008
20.9,0.708366,0.708374,0.708383,0.000008,0.000008
20.95,0.708363,0.708372,0.70838,0.000008,0.000008
21,0.708361,0.708369,0.708378,0.000009,0.000008
21.05,0.708358,0.708366,0.708375,0.000008,0.000009
21.1,0.708355,0.708364,0.708372,0.000009,0.000009
21.15,0.708352,0.708361,0.70837,0.000009,0.000009
21.2,0.70835,0.708358,0.708367,0.000009,0.000009
21.25,0.708347,0.708355,0.708364,0.000009,0.000008
21.3,0.708344,0.708352,0.708361,0.000009,0.000008
21.35,0.708341,0.708349,0.708358,0.000008,0.000008
21.4,0.708338,0.708346,0.708354,0.000008,0.000008
21.45,0.708335,0.708343,0.708351,0.000008,0.000008
21.5,0.708332,0.70834,0.708348,0.000008,0.000008
21.55,0.708329,0.708337,0.708345,0.000008,0.000008
21.6,0.708326,0.708334,0.708342,0.000008,0.000008
21.65,0.708323,0.708331,0.708338,0.000008,0.000008
21.7,0.70832,0.708327,0.708335,0.000008,0.000008
21.75,0.708317,0.708324,0.708332,0.000008,0.000008
21.8,0.708314,0.708321,0.708329,0.000008,0.000008
21.85,0.708311,0.708319,0.708327,0.000008,0.000008
21.9,0.708308,0.708316,0.708324,0.000008,0.000008
21.95,0.708305,0.708313,0.708321,0.000008,0.000008
22,0.708302,0.70831,0.708318,0.000008,0.000008
22.05,0.708299,0.708307,0.708315,0.000008,0.000008
22.1,0.708297,0.708304,0.708312,0.000008,0.000008
22.15,0.708294,0.708301,0.708309,0.000008,0.000008
22.2,0.708291,0.708298,0.708306,0.000008,0.000008
22.25,0.708288,0.708296,0.708303,0.000008,0.000008
22.3,0.708285,0.708293,0.7083,0.000008,0.000008
22.35,0.708282,0.70829,0.708298,0.000008,0.000008
22.4,0.708279,0.708287,0.708295,0.000008,0.000008
22.45,0.708277,0.708284,0.708292,0.000008,0.000008
22.5,0.708274,0.708282,0.70829,0.000008,0.000008
22.55,0.708271,0.708279,0.708287,0.000008,0.000008
22.6,0.708268,0.708276,0.708284,0.000008,0.000008
22.65,0.708266,0.708274,0.708282,0.000008,0.000008
22.7,0.708263,0.708271,0.708279,0.000008,0.000008
22.75,0.708261,0.708269,0.708277,0.000008,0.000008
22.8,0.708258,0.708266,0.708274,0.000008,0.000008
22.85,0.708256,0.708264,0.708272,0.000008,0.000008
22.9,0.708254,0.708262,0.708269,0.000008,0.000008
22.95,0.708252,0.708259,0.708267,0.000008,0.000008
23,0.708249,0.708257,0.708265,0.000008,0.000008
23.05,0.708247,0.708255,0.708262,0.000008,0.000008
23.1,0.708245,0.708252,0.70826,0.000008,0.000008
23.15,0.708242,0.70825,0.708258,0.000008,0.000008
23.2,0.70824,0.708247,0.708255,0.000008,0.000008
23.25,0.708237,0.708245,0.708253,0.000008,0.000008
23.3,0.708234,0.708242,0.70825,0.000008,0.000008
23.35,0.708232,0.70824,0.708248,0.000008,0.000008
23.4,0.708229,0.708237,0.708245,0.000008,0.000008
23.45,0.708226,0.708234,0.708242,0.000008,0.000008
23.5,0.708224,0.708232,0.708239,0.000008,0.000008
23.55,0.708221,0.708229,0.708237,0.000008,0.000008
23.6,0.708218,0.708226,0.708234,0.000008,0.000008
23.65,0.708216,0.708224,0.708231,0.000008,0.000008
23.7,0.708213,0.708221,0.708229,0.000008,0.000008
23.75,0.70821,0.708218,0.708226,0.000008,0.000008
23.8,0.708208,0.708216,0.708224,0.000008,0.000008
23.85,0.708205,0.708213,0.708221,0.000008,0.000008
23.9,0.708202,0.70821,0.708218,0.000008,0.000008
23.95,0.708199,0.708207,0.708216,0.000008,0.000008
24,0.708197,0.708205,0.708213,0.000008,0.000008
24.05,0.708194,0.708202,0.70821,0.000008,0.000008
