Age,Min,Mean,Max,Mean-min,Max - mean
0,0.709174,0.709175,0.709176,0.000001,0.000001
0.05,0.709173,0.709174,0.709176,0.000002,0.000001
0.1,0.709172,0.709174,0.709175,0.000002,0.000002
0.15,0.70917,0.709172,0.709174,0.000002,0.000002
0.2,0.709168,0.70917,0.709171,0.000001,0.000002
0.25,0.709166,0.709167,0.709169,0.000002,0.000001
0.3,0.709164,0.709165,0.709167,0.000001,0.000002
0.35,0.709162,0.709164,0.709165,0.000001,0.000001
0.4,0.709161,0.709162,0.709164,0.000001,0.000001
0.45,0.709159,0.709161,0.709162,0.000001,0.000001
0.5,0.709158,0.709159,0.70916,0.000001,0.000001
0.55,0.709156,0.709157,0.709159,0.000001,0.000001
0.6,0.709154,0.709155,0.709157,0.000002,0.000001
0.65,0.709152,0.709153,0.709155,0.000001,0.000001
0.7,0.70915,0.709151,0.709153,0.000001,0.000001
0.75,0.709148,0.709149,0.709151,0.000001,0.000001
0.8,0.709146,0.709147,0.709149,0.000001,0.000001
0.85,0.709144,0.709145,0.709146,0.000001,0.000001
0.9,0.709141,0.709143,0.709144,0.000001,0.000001
0.95,0.709139,0.70914,0.709141,0.000001,0.000001
1,0.709136,0.709137,0.709139,0.000001,0.000001
1.05,0.709133,0.709135,0.709136,0.000001,0.000001
1.1,0.70913,0.709132,0.709133,0.000001,0.000001
1.15,0.709127,0.709128,0.70913,0.000001,0.000001
1.2,0.709124,0.709125,0.709127,0.000001,0.000001
1.25,0.709121,0.709122,0.709124,0.000001,0.000001
1.3,0.709118,0.709119,0.709121,0.000001,0.000001
1.35,0.709115,0.709116,0.709118,0.000001,0.000001
1.4,0.709112,0.709114,0.709115,0.000002,0.000001
1.45,0.709109,0.709111,0.709113,0.000002,0.000001
1.5,0.709107,0.709108,0.70911,0.000002,0.000001
1.55,0.709104,0.709106,0.709107,0.000001,0.000001
1.6,0.709102,0.709103,0.709104,0.000001,0.000001
1.65,0.709099,0.7091,0.709102,0.000001,0.000001
1.7,0.709096,0.709098,0.709099,0.000001,0.000001
1.75,0.709094,0.709095,0.709097,0.000001,0.000001
1.8,0.709092,0.709093,0.709095,0.000001,0.000001
1.85,0.709089,0.709091,0.709092,0.000001,0.000001
1.9,0.709087,0.709089,0.70909,0.000002,0.000001
1.95,0.709085,0.709086,0.709088,0.000002,0.000002
2,0.709083,0.709084,0.709086,0.000002,0.000002
2.05,0.709081,0.709083,0.709084,0.000002,0.000002
2.1,0.709079,0.709081,0.709082,0.000002,0.000002
2.15,0.709077,0.709079,0.709081,0.000002,0.000002
2.2,0.709076,0.709078,0.709079,0.000002,0.000002
2.25,0.709074,0.709076,0.709078,0.000002,0.000002
2.3,0.709073,0.709075,0.709077,0.000002,0.000002
2.35,0.709072,0.709074,0.709075,0.000002,0.000002
2.4,0.709071,0.709072,0.709074,0.000002,0.000002
2.45,0.709069,0.709071,0.709073,0.000002,0.000002
2.5,0.709068,0.70907,0.709072,0.000002,0.000002
2.55,0.709067,0.709069,0.709071,0.000002,0.000002
2.6,0.709066,0.709068,0.70907,0.000002,0.000002
2.65,0.709065,0.709067,0.709069,0.000002,0.000002
2.7,0.709064,0.709066,0.709069,0.000002,0.000002
2.75,0.709063,0.709066,0.709068,0.000002,0.000002
2.8,0.709063,0.709065,0.709067,0.000002,0.000002
2.85,0.709062,0.709064,0.709067,0.000002,0.000002
2.9,0.709061,0.709064,0.709066,0.000003,0.000003
2.95,0.70906,0.709063,0.709065,0.000003,0.000003
3,0.70906,0.709062,0.709065,0.000003,0.000003
3.05,0.709059,0.709062,0.709065,0.000003,0.000003
3.1,0.709058,0.709061,0.709064,0.000003,0.000003
3.15,0.709058,0.709061,0.709064,0.000003,0.000003
3.2,0.709057,0.70906,0.709063,0.000003,0.000003
3.25,0.709057,0.70906,0.709063,0.000003,0.000003
3.3,0.709056,0.709059,0.709063,0.000003,0.000003
3.35,0.709055,0.709059,0.709062,0.000003,0.000003
3.4,0.709055,0.709058,0.709062,0.000003,0.000003
3.45,0.709055,0.709058,0.709062,0.000004,0.000004
3.5,0.709054,0.709058,0.709061,0.000004,0.000004
3.55,0.709054,0.709057,0.709061,0.000004,0.000004
3.6,0.709053,0.709057,0.70906,0.000004,0.000004
3.65,0.709052,0.709056,0.70906,0.000004,0.000004
3.7,0.709052,0.709056,0.70906,0.000004,0.000004
3.75,0.709051,0.709055,0.709059,0.000004,0.000004
3.8,0.709051,0.709055,0.709059,0.000004,0.000004
3.85,0.70905,0.709054,0.709058,0.000004,0.000004
3.9,0.70905,0.709054,0.709058,0.000004,0.000004
3.95,0.709049,0.709053,0.709058,0.000004,0.000004
4,0.709049,0.709053,0.709057,0.000004,0.000004
4.05,0.709048,0.709053,0.709057,0.000004,0.000004
4.1,0.709048,0.709052,0.709057,0.000004,0.000004
4.15,0.709048,0.709052,0.709056,0.000004,0.000004
4.2,0.709047,0.709052,0.709056,0.000004,0.000004
4.25,0.709047,0.709051,0.709056,0.000004,0.000004
4.3,0.709046,0.709051,0.709055,0.000004,0.000005
4.35,0.709046,0.70905,0.709055,0.000004,0.000005
4.4,0.709045,0.709049,0.709054,0.000004,0.000004
4.45,0.709044,0.709049,0.709053,0.000004,0.000004
4.5,0.709043,0.709048,0.709052,0.000004,0.000004
4.55,0.709043,0.709047,0.709051,0.000004,0.000004
4.6,0.709042,0.709046,0.70905,0.000004,0.000004
4.65,0.709041,0.709045,0.709049,0.000004,0.000004
4.7,0.70904,0.709044,0.709048,0.000004,0.000004
4.75,0.709039,0.709043,0.709047,0.000004,0.000004
4.8,0.709037,0.709042,0.709046,0.000004,0.000004
4.85,0.709036,0.70904,0.709044,0.000004,0.000004
4.9,0.709035,0.709039,0.709043,0.000004,0.000004
4.95,0.709034,0.709038,0.709042,0.000004,0.000004
5,0.709032,0.709036,0.70904,0.000004,0.000004
5.05,0.709031,0.709035,0.709039,0.000004,0.000004
5.1,0.709029,0.709033,0.709037,0.000004,0.000004
5.15,0.709027,0.709032,0.709036,0.000004,0.000004
5.2,0.709026,0.70903,0.709034,0.000004,0.000004
5.25,0.709024,0.709028,0.709033,0.000004,0.000004
5.3,0.709023,0.709027,0.709031,0.000004,0.000004
5.35,0.709021,0.709025,0.709029,0.000004,0.000004
5.4,0.709019,0.709023,0.709027,0.000004,0.000004
5.45,0.709017,0.709021,0.709025,0.000004,0.000004
5.5,0.709014,0.709019,0.709023,0.000004,0.000004
5.55,0.709012,0.709017,0.709021,0.000004,0.000004
5.6,0.70901,0.709014,0.709018,0.000004,0.000004
5.65,0.709007,0.709011,0.709016,0.000004,0.000004
5.7,0.709005,0.709009,0.709013,0.000004,0.000004
5.75,0.709002,0.709006,0.70901,0.000004,0.000004
5.8,0.708999,0.709003,0.709007,0.000004,0.000004
5.85,0.708996,0.709,0.709005,0.000004,0.000004
5.9,0.708993,0.708998,0.709002,0.000004,0.000004
5.95,0.708991,0.708995,0.709,0.000004,0.000004
6,0.708988,0.708992,0.708997,0.000004,0.000004
6.05,0.708985,0.708989,0.708994,0.000004,0.000004
6.1,0.708982,0.708986,0.708991,0.000004,0.000004
6.15,0.708979,0.708984,0.708988,0.000004,0.000004
6.2,0.708977,0.708981,0.708985,0.000004,0.000004
6.25,0.708974,0.708978,0.708982,0.000004,0.000004
6.3,0.708972,0.708976,0.70898,0.000004,0.000004
6.35,0.70897,0.708974,0.708978,0.000004,0.000004
6.4,0.708968,0.708972,0.708975,0.000004,0.000004
6.45,0.708966,0.70897,0.708973,0.000004,0.000004
6.5,0.708964,0.708968,0.708971,0.000004,0.000004
