hole,depth,age,type,dD,d18O,Rb,Sr,87Sr/86Sr,87Rb/86Sr,e_Nd,Sm,Nd,K2O/Al2O3
717C,15.8,0.1,2,,13.5,231.7,90.7,0.73723,7.39,-15.9,,,
717C,47.8,0.3,2,,13.2,267.5,78.6,0.7381,9.88,-14,5.2,26.6,0.19
717C,114.5,0.8,2,,,208.6,82.4,0.74048,7.32,-13.4,,,0.158
717C,150.5,1,2,,15,,87.3,0.74006,,-14.5,,,0.16
717C,151.3,1,2,-67.3,16.9,,,0.73791,,,,,0.174
717C,151.3,1,63,,,404.3,51.3,0.71572,22.1,-14.8,2.5,11.5,
717C,164.8,1.1,2,,22.1,,,0.76224,,-20.5,,,0.099
717C,234.2,2.3,0.1,-67,21.9,137,44,0.72007,,-12.3,9.4,40.3,0.107
717C,234.2,2.3,2,,,209.5,40.4,0.72798,15.1,,,,0.173
717C,240.1,2.4,0.1,-67,26.1,52.9,10,0.7377,,-16.9,,,0.067
717C,240.1,2.4,2,-65.1,22.8,112,23.8,0.75484,13.7,-17.9,,,0.097
717C,246.7,2.5,2,-92.6,22.6,,,0.73851,,,,,0.106
717C,301.4,3.4,2,-80.7,20.8,,,0.74067,,,,,0.094
717C,342.9,4.1,2,-75.5,21.3,72.2,24.4,0.7422,8.58,,,,0.059
717C,348.3,4.2,2,-69.3,22,64,25,0.75877,7.34,,,,0.071
717C,359.2,4.4,2,,11.5,,72.8,0.75512,,-16.4,,,0.211
717C,376,4.7,2,,,62,13,0.74476,,,,,0.059
717C,380.8,4.8,2,,,,,0.75891,,-18.5,,,
717C,397,5,2,,19.6,55.5,15.1,0.74836,10.7,,,,
717C,436.9,5.7,2,,,,,0.75158,,-14.8,,,0.074
717C,450.7,5.9,2,,23.2,54,,0.74058,,-11.7,,,0.062
717C,474.1,6.3,2,,,56,29,0.7354,5.67,,,,0.069
717C,482.5,6.5,0.1,-75.9,27.7,40.9,26,0.72785,,-13.8,,,0.026
717C,492.1,6.7,2,,21.1,75.1,25.7,0.73665,8.45,-15.4,,,0.064
717C,560,7.6,2,-75.2,13.2,301,17,0.75284,,-14.4,,31.5,0.214
717C,581.3,7.9,2,-60.5,20.5,,,,,-17.2,,,0.074
717C,679.3,8.9,2,-61.4,,234,56,0.73628,12,-13.9,5.1,26.3,0.188
717C,699.3,9,0.1,-71.5,25.1,46.4,9.2,0.71989,,-11.9,,,0.034
717C,770.3,9.3,63,,,290.5,36.8,0.72101,22.1,-13,1.9,8.4,
718C,548,11.6,2,-68,13.7,234.3,64,0.74003,10.6,,,,0.194
718C,579.8,12,0.1,-48,18.5,,54,0.71274,,-12.4,,20,0.143
718C,579.8,12,2,-70.6,14.5,,,,,,,,0.205
718C,761.7,14.3,2,,15.8,279.1,65.3,0.73849,12,-14.4,8,38.5,0.208
718C,761.7,14.3,50,,,104.4,59.9,0.75668,4.91,-16.7,3.7,19.8,0.256
718C,820.8,15.1,63,,,262.4,58.1,0.72082,12.7,-14.7,3.3,13.7,
718C,829.6,15.2,2,-53.9,11.3,289.4,62.3,0.75265,13.1,-14.7,6.2,32.3,0.226
718C,829.6,15.2,50,,,83.5,55.9,0.75494,4.21,-16,3.9,21,0.274
718C,842.1,15.3,2,,,222.5,63.1,0.73603,9.92,-14.4,6.9,34.5,0.205
718C,842.1,15.3,50,,,148,64.7,0.75767,6.44,-15.7,4.7,25.8,0.266
718C,854.7,15.5,2,,,236.8,68,0.74161,9.8,-14.3,7.4,37.5,0.221
718C,854.7,15.5,50,,,91.2,65.1,0.75307,3.94,-16.4,5.9,32.3,0.254
718C,858.2,15.6,2,,,216.9,80.4,0.73683,7.58,-14.9,8.7,46.1,0.225
718C,858.2,15.6,50,,,104.5,64.7,0.75085,4.55,-16.8,5.3,29.4,0.27 1
718C,858.2,15.6,63,,,144.8,25.6,0.72336,15.9,-16.6,1.3,5.7,
718C,908.3,16.2,63,,,168.3,25.5,0.72049,18.6,-14.8,0.9,3.5,
718C,925.4,16.4,2,-52.8,12.3,233.5,61.8,0.7406,10.6,-14.5,6.7,35.9,0.225
718C,925.4,16.4,50,,,110.6,64.5,0.75175,4.83,-16,3.8,20.4,0.277
718C,925.4,16.4,63,,,124.5,50,0.72016,6.99,-15,0.6,2.4,
