Event,Latitude,Longitude,Elevation [m],Age [ka BP],Sample label,Sample comment,187Os/186Os,187Os/186Os e [±],187Os/188Os,187Os/188Os e [±],Re [mug/kg],Os [ng/kg],187Re/186Os
129-801A,18.6428,156.3595,-5685,57100,"129-801A-4R-2, 45-47",one-step peroxide leach,3.711,0.02,0.4466,0.0024,,9,
16-162,14.8698,-140.0435,-4854,48700,"16-162-17-4,139-140",bulk sample,4.642,0.016,0.5587,0.0019,,38,
20-196,30.1162,148.5748,-6194,80000,"20-196-2-5,112-114",bulk sample,5.379,0.018,0.6474,0.0022,,182,
20-196,30.1162,148.5748,-6194,80000,"20-196-2-5,112-114",one-step peroxide leach,6.182,0.019,0.744,0.0023,,47,
34-319,-13.0173,-101.5243,-4290,15800,"34-319-12-3,134-136",bulk sample,6.082,0.026,0.732,0.0031,,61,
35-323,-63.6807,-97.9948,-5004,63500,"35-323-16-1,68-70",bulk sample,3.154,0.007,0.3796,0.0008,,237,
35-323,-63.6807,-97.9948,-5004,63500,"35-323-16-1,68-70",one-step peroxide leach,3.23,0.007,0.3887,0.0008,,131,
5-39,32.8047,-139.5715,-4929,53000,"5-39-2-6,130-131",bulk sample,4.019,0.012,0.4837,0.0014,0.102,416,95
8-74,-6.2367,-136.0967,-4431,38000,"8-74-12-1,129-130",bulk sample,4.494,0.016,0.5408,0.0019,,74,
8-74,-6.2367,-136.0967,-4431,42100,"8-74-12-3,18-20",bulk sample,4.752,0.099,0.5719,0.0119,0.038,75,19.9
9-77B,0.4817,-133.2283,-4291,37900,"9-77B-53-1,70-72",bulk sample,4.848,0.015,0.5835,0.0018,,64,
9-77B,0.4817,-133.2283,-4291,37900,"9-77B-53-1,70-72",one-step peroxide leach,4.835,0.011,0.5819,0.0013,,22,
91-596,-23.8533,-165.6545,-5701,104,"91-596-1-1,114-116",bulk sample,6.8,0.015,0.8184,0.0018,,129,
91-596,-23.8533,-165.6545,-5701,104,"91-596-1-1,114-116",one-step peroxide leach,7.886,0.021,0.9491,0.0025,,59,
91-596,-23.8533,-165.6545,-5701,1060,"91-596-1-2,65-67",bulk sample,7.363,0.021,0.8861,0.0025,,150,
91-596,-23.8533,-165.6545,-5701,1060,"91-596-1-2,65-67",one-step peroxide leach,8.12,0.01,0.9772,0.0012,,75,
91-596,-23.8533,-165.6545,-5701,6340,"91-596-1-4,99-101",bulk sample,6.636,0.01,0.7986,0.0012,,554,
91-596,-23.8533,-165.6545,-5701,6340,"91-596-1-4,99-101",one-step peroxide leach,7.203,0.011,0.8669,0.0013,,213,
91-596,-23.8533,-165.6545,-5701,17070,"91-596-2-2,99-101",bulk sample,7.036,0.013,0.8468,0.0016,,129,
91-596,-23.8533,-165.6545,-5701,17070,"91-596-2-2,99-101",one-step peroxide leach,6.974,0.023,0.8393,0.0028,,75,
91-596,-23.8533,-165.6545,-5701,24350,"91-596-2-4,128-130",bulk sample,1.451,0.003,0.1746,0.0004,,1014,
91-596,-23.8533,-165.6545,-5701,24350,"91-596-2-4,128-130",one-step peroxide leach,4.915,0.012,0.5915,0.0014,,52,
91-596,-23.8533,-165.6545,-5701,28220,"91-596-2-5,42-44",bulk sample,3.136,0.014,0.3774,0.0017,,230,
91-596,-23.8533,-165.6545,-5701,28220,"91-596-2-5,42-44",one-step peroxide leach,4.272,0.017,0.5141,0.002,,66,
91-596,-23.8533,-165.6545,-5701,51010,"91-596-3-1,131-133",bulk sample,2.238,0.004,0.2693,0.0005,,215,
91-596,-23.8533,-165.6545,-5701,51010,"91-596-3-1,131-133",one-step peroxide leach,3.402,0.009,0.4094,0.0011,,51,
91-596,-23.8533,-165.6545,-5701,63150,"91-596-3-3,102-104",bulk sample,1.658,0.006,0.1995,0.0007,0.144,218,25.9
91-596,-23.8533,-165.6545,-5701,63150,"91-596-3-3,102-104",one-step peroxide leach,2.294,0.008,0.2761,0.001,,28,
91-596,-23.8533,-165.6545,-5701,65080,"91-596-3-4,8-10",bulk sample,1.402,0.003,0.1687,0.0004,0.246,476,20.3
91-596,-23.8533,-165.6545,-5701,65080,"91-596-3-4,8-10",short dilute peroxide leach,2.271,0.009,0.2733,0.0011,,30,
91-596,-23.8533,-165.6545,-5701,65080,"91-596-3-4,8-10",normal peroxide leach on residue from step short dilute peroxide leach,1.592,0.004,0.1916,0.0005,,50,
91-596,-23.8533,-165.6545,-5701,66560,"91-596-3-4,52-54",bulk sample,1.248,0.002,0.1502,0.0002,0.625,1492,16.4
