Event,Latitude,Longitude,Elevation [m],Age [ka BP],Sample label,Sample comment,187Os/186Os,187Os/186Os e [±],187Os/188Os,187Os/188Os e [±],Re [mug/kg],Os [ng/kg],187Re/186Os
91-596,-23.8533,-165.6545,-5701,66560,"91-596-3-4,52-54",one-step peroxide leach,1.286,0.002,0.1548,0.0002,,253,
91-596,-23.8533,-165.6545,-5701,66560,"91-596-3-4,52-54",residue after leaching,1.234,0.003,0.1485,0.0004,,682,
91-596,-23.8533,-165.6545,-5701,69120,"91-596-3-4,122-124",bulk sample,1.68,0.052,0.2022,0.0063,0.321,236,53.2
91-596,-23.8533,-165.6545,-5701,69120,"91-596-3-4,122-124",short dilute peroxide leach,3.29,0.015,0.3959,0.0018,,21,
91-596,-23.8533,-165.6545,-5701,69120,"91-596-3-4,122-124",normal peroxide leach on residue from step short dilute peroxide leach,1.257,0.004,0.1513,0.0005,,98,
91-596,-23.8533,-165.6545,-5701,74610,"91-596-3-5,97-99",bulk sample,2.426,0.014,0.292,0.0017,0.042,137,12
91-596,-23.8533,-165.6545,-5701,74610,"91-596-3-5,97-99",one-step peroxide leach,3.263,0.024,0.3927,0.0029,,19,
91-596,-23.8533,-165.6545,-5701,78630,"91-596-3-6,48-50",bulk sample,3.418,0.009,0.4114,0.0011,0.075,76,38.7
91-596,-23.8533,-165.6545,-5701,78630,"91-596-3-6,48-50",one-step peroxide leach,4.638,0.016,0.5582,0.0019,,14,
91-596,-23.8533,-165.6545,-5701,83700,"91-596-3-7,18-20",bulk sample,3.121,0.033,0.3756,0.004,0.069,81,33.4
92-597,-18.8063,-129.7705,-4166,26300,"92-597-6-2,106-107",one-step peroxide leach,6.094,0.013,0.7334,0.0016,0.048,34,55.3
