Site-Core-Section,Interval,Depth [m],Age [Ma],87Sr/86Sr,Error
289-38-1,38-42,351.9,10.74,0.708884,0.000005
289-38-2,81-89,353.85,10.8,0.708881,0.000006
289-38-3,24-29,354.76,10.83,0.708856,0.000005
289-38-4,78-82,356.8,10.89,0.708858,0.000004
289-38-5,75-83,358.29,10.94,0.708874,0.000005
289-38-6,26-31,359.28,10.97,0.708859,0.000004
289-39-1,24-29,361.26,11.03,0.708826,0.000004
289-39-2,52-60,363.06,11.09,0.708844,0.000006
289-39-3,124-129,365.25,11.15,0.708851,0.000004
289-39-4,64-69,366.16,11.18,0.708851,0.000004
289-39-5,62-70,367.66,11.23,0.708827,0.000005
289-39-6,76-81,369.28,11.28,0.708826,0.000004
289-40-1,64-70,371.17,11.34,0.7088,0.000004
289-40-2,24-29,372.26,11.37,0.708819,0.000005
289-40-3,38-42,373.9,11.42,0.708849,0.000005
289-40-3,82-90,374.36,11.43,0.708848,0.000005
289-40-4,124-129,376.26,11.49,0.70884,0.000004
289-40-6,38-42,378.4,11.56,0.708803,0.000004
289-41-1,124-129,381.26,11.65,0.708807,0.000004
289-41-2,82-90,382.36,11.68,0.708807,0.000004
289-42-1,81-86,390.33,11.93,0.708812,0.000004
289-424,38-42,394.4,12.05,0.708856,0.000004
289-42-5,87-93,396.4,12.12,0.708801,0.000004
289-42-6,124-129,398.26,12.17,0.708842,0.000004
289-43-1,82-87,399.84,12.22,0.708822,0.000005
289-42-2,124-129,401.76,12.28,0.708833,0.000004
289-43-3,103-107,403.05,12.32,0.708815,0.000004
289-43-4,103-107,404.55,12.37,0.708817,0.000004
289-43-5,103-107,406.05,12.41,0.708839,0.000004
289-43-6,103-107,407.55,12.46,0.708821,0.000004
28944-1,83-88,409.35,12.51,0.708839,0.000005
289-44-2,103-107,411.05,12.57,0.708798,0.000004
289-44-3,103-107,412.55,12.61,0.708801,0.000004
289-44-4,96-98,413.97,12.66,0.708757,0.000004
289-44-5,97-99,415.58,12.7,0.708782,0.000005
289-44-6,96-99,416.97,12.75,0.70878,0.000005
289-45-3,113-118,422.15,12.91,0.708789,0.000005
289-45-4,128-132,423.8,12.96,0.708811,0.000004
289-45-5,128-133,425.3,13.01,0.708842,0.000004
289-46-1,97-99,428.48,13.11,0.708785,0.000007
289-46-2,48-50,428.48,13.14,0.708775,0.000004
289-46-2,48-50,429.49,13.14,0.708785,0.000004
289-47-1,97-99,429.49,13.4,0.708784,0.000004
289-47-1,97-99,437.98,13.4,0.708796,0.000004
289-47-2,97-99,439.48,13.45,0.708787,0.000004
289-47-2,97-99,439.48,13.45,0.708802,0.000004
289-47-3,76-78,440.77,13.48,0.708794,0.000004
289-47-4,148-150,442.99,13.55,0.708817,0.000004
289-47-5,125-127,444.26,13.59,0.708783,0.000005
289-47-6,125-127,445.76,13.67,0.708813,0.000004
289-48-1,50-52,447.01,13.73,0.708764,0.000005
289-48-1,148-150,447.99,13.78,0.708811,0.000005
289-48-2,50-52,448.51,13.81,0.708764,0.000004
289-48-2,82-90,448.86,13.83,0.708794,0.000004
289-48-2,97-99,448.98,13.83,0.708766,0.000005
289-48-3,103-106,450.55,13.92,0.708776,0.000004
289-48-4,103-106,452.05,13.99,0.708796,0.000004
289-48-4,103-106,452.05,13.99,0.708763,0.000004
289-48-5,20-28,452.74,14.03,0.708751,0.000005
289-48-5,82-90,453.36,14.06,0.708777,0.000004
289-48-6,103-106,455.05,14.15,0.708776,0.000006
289-49-1,103-106,457.05,14.25,0.708779,0.000004
289-49-2,82-90,458.36,14.32,0.708816,0.000004
289-49-3,103-106,460.05,14.41,0.708782,0.000004
289-49-4,23-29,460.76,14.45,0.708815,0.000004
289-49-4,38-42,460.9,14.46,0.708749,0.000005
289-49-5,89-97,462.93,14.56,0.708796,0.000004
289-49-6,22-30,463.76,14.6,0.708794,0.000004
289-49-6,22-30,463.76,14.6,0.708777,0.000004
289-49-6,103-106,464.55,14.65,0.708767,0.000006
289-50-1,103-106,465.1,14.67,0.708779,0.000004
