Site-Core-Section,Interval,Depth [m],Age [Ma],87Sr/86Sr,Error
289-50-2,82-90,467.86,14.82,0.708786,0.000004
289-50-2,82-90,467.86,14.82,0.708796,0.000004
289-50-3,104-107,469.56,14.91,0.708783,0.000005
289-50-4,96-99,470.98,14.98,0.708808,0.000004
289-50-5,83-91,472.37,15.05,0.708784,0.000005
289-50-6,103-106,474.04,15.14,0.708808,0.000004
289-51-1,104-107,476.05,15.25,0.708789,0.000004
289-51-2,90-98,477.44,15.32,0.708789,0.000005
289-51-3,103-106,479.05,15.4,0.708781,0.000004
289-51-4,96-99,480.48,15.48,0.708774,0.000004
289-51-5,83-91,481.87,15.55,0.708755,0.000004
289-51-6,96-99,483.48,15.63,0.708731,0.000004
289-52-1,75-80,485.28,15.73,0.708778,0.000004
289-52-2,82-90,486.86,15.81,0.708756,0.000004
289-52-3,75-80,488.28,15.88,0.708734,0.000004
289-52-4,78-83,489.81,15.96,0.708727,0.000004
289-52-5,76-84,490.86,16.02,0.708742,0.000005
289-52-5,76-84,490.86,16.02,0.708701,0.000004
289-52-6,65-70,492.68,16.11,0.708736,0.000004
289-52-6,65-70,492.68,16.11,0.708744,0.000004
289-52-6,65-70,492.68,16.11,0.708736,0.000004
289-53-1,87-91,494.8,16.19,0.708743,0.000004
289-53-2,89-97,496.43,16.26,0.708726,0.000004
289-53-2,89-97,496.43,16.26,0.708729,0.000005
289-53-3,76-81,497.7,16.31,0.708731,0.000005
289-53-4,82-90,499.36,16.38,0.708719,0.000006
289-54-1,92-97,504.44,16.6,0.708703,0.000004
289-54-2,90-98,505.94,16.67,0.708699,0.000004
289-54-3,75-80,507.28,16.73,0.708706,0.000005
289-54-4,105-111,509.08,16.8,0.708697,0.000004
289-55-1,7-13,513.1,17.98,0.708669,0.000004
289-55-1,92-96,513.94,17.01,0.708674,0.000004
289-55-1,109-117,514.13,17.02,0.708668,0.000004
289-55-2,6-14,514.6,17.04,0.708668,0.000004
289-55-2,87-93,515.4,17.08,0.708641,0.000005
289-55-2,90-94,515.42,17.08,0.708655,0.000004
289-55-3,20-27,516.24,17.11,0.708629,0.000004
289-55-3,111-119,517.15,17.15,0.708656,0.000005
289-55-4,77-85,518.32,17.2,0.708649,0.000005
289-55-5,110-119,520.15,17.28,0.708681,0.000004
289-55-6,20-28,520.74,17.31,0.708709,0.000006
289-55-6,83-91,521.37,17.34,0.708648,0.000006
289-56-1,105-112,523.6,17.43,0.7086,0.000006
289-56-2,21-30,524.26,17.46,0.708575,0.000004
289-56-3,102-111,526.57,17.56,0.708589,0.000004
289-56-4,52-60,527.56,17.6,0.708583,0.000004
289-57-1,20-28,532.24,17.8,0.708626,0.000004
289-57-2,112-119,534.65,17.91,0.70854,0.000004
289-57-3,102-111,536.06,17.97,0.708535,0.000004
289-57-4,107-116,537.61,18.04,0.708542,0.000004
289-57-5,82-90,538.86,18.09,0.708546,0.000005
289-58-1,20-26,541.73,18.22,0.708506,0.000004
289-58-2,83-91,543.87,18.35,0.708522,0.000004
289-58-3,38-42,544.9,18.41,0.708535,0.000004
289-58-4,75-80,546.77,18.53,0.708501,0.000004
289-58-5,83-91,548.37,18.62,0.708496,0.000004
289-58-6,75-80,549.77,18.71,0.708495,0.000004
289-59-1,119-124,552.21,18.85,0.708473,0.000004
289-59-2,92-100,553.46,18.93,0.708527,0.000004
289-60-1,94-99,561.47,19.32,0.708461,0.000005
289-60-2,106-114,563.1,19.37,0.708439,0.000006
289-60-3,102-111,564.57,19.42,0.708486,0.000004
289-604,79-84,565.82,19.46,0.708467,0.000004
289-60-5,64-70,567.17,19.51,0.708456,0.000004
289-61-1,25-30,570.27,19.61,0.708436,0.000004
289-61-2,88-96,572.42,19.68,0.708434,0.000004
289-61-3,82-87,573.84,19.73,0.708442,0.000004
289-61-4,75-80,575.28,19.78,0.708445,0.000004
289-61-5,90-98,576.94,19.83,0.708448,0.000004
289-61-6,77-82,578.29,19.88,0.708426,0.000004
289-62-2,104-112,582.08,20.01,0.708416,0.000004
289-63-1,66-72,589.69,20.26,0.708398,0.000004
289-63-2,74-84,591.29,20.31,0.708395,0.000005
289-64-1,120-125,599.22,20.59,0.70843,0.000007
289-64-2,83-88,600.85,20.63,0.708384,0.000004
289-64-3,92-100,602.46,20.68,0.708416,0.000004
289-65-1,75-83,608.79,20.89,0.708379,0.000004
289-65-3,51-59,611.55,20.99,0.708379,0.000004
289-66-1,75-80,618.28,21.21,0.708339,0.000004
289-66-2,82-90,619.86,21.26,0.708351,0.000004
289-66-3,82-87,621.34,21.31,0.708349,0.000004
289-67-1,76-81,627.78,21.53,0.708332,0.000004
289-67-2,63-70,629.16,21.57,0.708331,0.000004
289-67-3,75-80,630.78,21.63,0.708351,0.000004
289-57-5,82-90,633.86,21.73,0.70832,0.000006
289-67-6,78-83,635.3,21.78,0.708325,0.000004
289-68-2,83-91,638.87,21.9,0.708287,0.000004
289-68-5,82-90,643.36,22.05,0.708297,0.000004
289-69-2,65-70,648.17,22.21,0.708285,0.000005
289-69-4,83-91,651.37,22.31,0.708299,0.000005
289-70-2,84-92,657.88,22.53,0.708295,0.000004
289-70-5,75-83,662.29,22.69,0.70821,0.000004
289-71-2,88-96,667.42,22.88,0.708241,0.000004
289-72-2,62-70,676.66,23.23,0.708234,0.000006
289-72-5,65-73,681.19,23.36,0.708252,0.000005
289-73-2,90-98,686.44,23.48,0.708243,0.000004
289-73-4,82-90,689.36,23.55,0.708252,0.000005
289-74-5,78-86,700.32,23.8,0.708249,0.000004
289-75-3,82-90,706.86,23.96,0.70819,0.000004
289-76-9,76-84,714.8,24.14,0.708179,0.000004
