age_yr,CO2_ppm
0.33,313.66
1.23,309.69
2.29,311.57
3.34,310.36
3.37,312.87
4.38,312.56
4.44,311.97
4.61,311.81
5.04,310.44
5.24,311.28
5.49,310.22
6.43,312.36
7.79,311.88
7.96,312.84
8.22,312.39
9.16,311.8
9.25,307.74
10.03,309.8
10.41,310.95
10.78,311.21
11.03,310.46
11.84,308.48
11.87,311.94
12.13,311.52
12.23,312.33
13.14,307.41
14.13,309.34
14.29,307.26
14.94,306.32
16.12,309.63
16.41,307.08
17.22,305.94
17.46,308.28
17.71,308.26
19.17,305.74
20.61,305.38
21.26,305.78
21.46,305.71
21.84,305.67
22.2,308.02
24.69,304.97
25.25,304.72
27.16,306.2
27.49,303.18
30.29,301.88
31.33,304.61
32.13,303.85
34.21,301.92
35.61,300.7
37.48,301.3
38.71,299.26
38.9,297.73
39.28,298.11
40.24,297.87
41.48,301.5
44.23,299.63
44.46,297.33
44.65,299.02
46.09,295.99
48.3,295.61
49.82,294.22
51.06,297.05
51.34,295.28
56.24,293.81
56.34,293.17
56.94,295.32
57.12,294.86
57.61,295.17
60.13,290.92
60.99,292.34
62.61,294.34
64.4,288.12
65.82,289.23
66.21,289.76
67.08,292.46
70.05,287.77
73.09,289.33
76.26,291.56
77.17,286.66
79.96,286.33
80.34,287.99
81.59,289.54
82.27,287.99
83.26,285.05
85.87,286.65
87.02,285.35
88.17,287.17
91.16,286.63
93.38,283.16
95.28,285.57
96.29,288.05
98.89,285.47
99.17,288.79
99.74,284
102.68,286.84
104.1,283.62
105.35,283.18
105.54,283.53
106.71,281.58
109.17,283.65
113.3,284.15
116.82,283.82
117.13,285.09
123.08,285.91
125.26,281.36
136.34,284.43
150.66,282.8
153.53,280.4
154.06,282.3
155.9,281.62
169.7,273.07
170.51,280.24
176.54,277.86
186.3,276.4
187.12,277.16
197.87,278
198.07,276.46
200.88,277.6
208.74,276.81
216.13,278.31
226.99,277.01
227.14,278.27
255.93,277.36
260.26,276.32
268.11,276.66
300.9,278.02
310.19,276.69
321.4,273.78
340.54,271.11
346.58,275.07
359.01,279.36
361.82,281.11
376.99,282.57
390.14,281.83
400.35,283.53
420.32,283.95
448.47,283.12
480.6,280.31
500.84,282.23
521.2,279.73
539.14,279.7
559.67,280.91
601.15,278.36
619.88,284.07
642.55,281.58
671.8,278.43
690.49,282.2
698.73,282.41
739.05,283.69
750.19,284.54
784.02,283.97
803.71,284.51
834.39,282.84
850.59,283.09
879.8,282.84
900.82,280.97
909.92,280.92
930.73,280.06
932.42,279.8
967.35,278.74
992.35,277.41
1035.87,280.11
1074.59,279.42
1127.67,278.62
1156.9,279.72
1187.7,279.29
1219.57,279.99
1248.75,277.1
1280.82,278.45
1313,279.59
1335.48,277.87
1367.59,276.2
1392.53,278.46
1398.38,276.56
1432.04,276.79
1461.87,277.11
1513.06,280
1543.64,279.13
1565.77,277.25
1592.67,277.8
1632.45,281.69
1654.4,280.91
1675.56,280.24
1683.9,278.31
1709.4,280.25
1775.47,277.56
1796.47,278.07
1814,278.1
1846,277.5
1894,277.4
1920,277.9
1949,276.7
1999.71,278
2093.36,276.9
2234.24,276.7
2265.55,276.7
2414.32,277.6
2526.12,277.9
2628.02,273.9
2708.48,278.9
2801.76,275.3
2904.55,274.7
2948.82,276.3
3056.6,274.6
3255.73,276.3
3283.66,273.1
3431.12,274
3528.29,275
3644.46,273.4
3693.41,273
3806.86,271.5
3856.17,275.4
3968.95,274.9
4108.67,271.7
4205.84,271.6
4275.08,272.8
4342.82,271.5
4494.36,271.1
4592.82,269.1
4647.46,269.8
4773,271.5
4921.2,270.7
4981.58,269.3
5086.79,268.6
5218.57,269.8
5311.18,267.6
5357.55,265.3
5533.29,265.2
5581.3,267.6
5757.61,265.9
5852.26,265.5
5934.09,260.7
5999.38,266.7
6089.81,265.5
6301.96,263.2
6337.21,262.7
6401.24,261.2
6572.29,261.1
6682.55,259.4
6769.65,262.1
6880.31,262.9
6970.08,258.1
7038.27,257.6
7188.07,262.3
7274.01,263
7405.32,260.7
7497.87,258.4
7661.37,260.1
7719.59,260.4
7860.18,259.7
7926.37,259.2
7975.85,260.8
8116.28,259.6
8194.8,259.3
8351.88,258.3
8459.68,261.3
8546.58,260.7
8710.68,261.8
8781.28,259
8911.85,260.9
8992.99,260.4
9060.17,259.3
9143.01,262
9295.31,263.7
9361.12,263.8
9436.7,265.2
9518.06,260.6
9524.44,260.9
9555.86,263
9573.27,263.8
9901.04,264.4
9992.61,264.2
10134.5,264
10192.95,263.4
10299.55,265.7
10366.56,264.9
10505.55,267.5
10680.48,266.9
10801.81,266
10835.74,265.1
10954.48,267.6
11089.62,264.8
11161.06,264.8
11185.87,265
11200.58,265.3
11256.57,264.4
11316.98,264.1
11339.37,264.81
11383.16,264.84
11399.86,268.16
11417.45,264.48
11435.93,270.14
11453.06,268.87
11472.8,269.1
11490.45,267.17
11507.23,267.66
11523.93,269.51
11543.6,266.9
11559.61,262.74
11576.41,267.09
11592.24,260.7
11611.31,261.3
11628.97,266.22
11647.92,257.13
11664.54,247.55
11682.82,254.62
11701.44,253.99
11719.72,256.04
11740.65,255.89
11759.21,258.74
11780.72,258.25
11802.79,258.53
11820.5,257.17
11843.33,254.31
11863.12,253.63
11883.17,251.56
11904.91,255.9
11926.96,258.57
11948.09,248.92
11969.55,253.99
11990.69,255.39
12015.9,247.85
12037.32,248.41
12058.8,253.1
12079.85,251.03
12105.25,255.66
12124.58,253.02
12146.5,251.14
12168.48,251.42
12190.41,250.97
12211.34,249.65
12232.92,249.23
12256.48,248.95
12280.77,249.38
12301.04,248.92
12321.28,250.73
12343.12,246.97
12365.28,244.31
12388.31,243
12409.38,246.4
12431.93,247.67
12454.82,245.83
12475.39,246.18
12495.84,244.42
12521.35,246.74
12543.72,249.92
12564.62,244.27
12586.6,247.02
12607.64,248.09
12629.85,246.94
12653.64,243.95
12673.9,242.53
12697.14,244.24
12719.8,241.59
12739.91,247.3
12762.58,240.02
12785.63,241.5
12809.27,242.23
12830.15,242.15
12852.71,239.35
12873.98,241.24
12893.38,239.44
12917.11,238.79
12939.23,238.18
12959.75,240.71
12980.88,237.15
13001.06,239.42
13021.92,234.68
13043.69,238.86
13066.59,237.91
13088.22,241.56
13128.45,234.82
13172.67,236.91
13216.2,239.41
13266.97,240.42
13304.15,236.86
13418.1,237.83
13486.74,240.25
13531.75,235.83
13600.81,243.86
13645.35,238.55
13712.83,241.59
13758.73,241.11
13827.2,239.08
13871.57,237.95
13940.23,240.57
14001.79,235.92
14022.86,237.87
14060.09,241.27
14084.47,232.88
14120.06,236.4
14156.6,239.24
14179.55,239.36
14205.56,238.36
14237.45,236.6
14273.02,240.21
14298.72,239.04
14308.61,235.8
14343.16,242.08
14354.48,238.39
14374.99,240.33
14410.6,242.55
14422.23,242.6
14443.28,240.95
14463.58,238.61
14497.21,242.06
14520.85,241.14
14531.3,243.17
14541.66,235.83
14552.93,241.73
14563.52,239.86
14575.93,239.77
14586.19,237.97
14595.47,235.31
14606.21,237.59
14619.39,237.97
14629.99,240.1
14645.2,238.12
14652.26,234.62
14664.09,233.42
14675.12,234.34
14686.37,237.49
14696.69,228.91
14706.96,228.18
14718.12,230.53
14730.88,234.54
14743.19,231.48
14758.52,227.9
14763.41,224.64
14776.28,227.39
14787.83,227.79
14799.14,228.5
14810.61,227.58
14822.39,226.51
14834.75,228.4
14844.77,227.87
